,X,Y,Z,R,G,B,names
80,-6.7383,6.1415,-1.76537,-0.186205,-0.851313,17.8871,AFDL
81,-6.66166,-2.26388,3.93791,0.860259,5.03313,12.4041,SAADR
82,-6.03884,0.697582,3.49418,18.0614,13.7855,1.78789,SMDDL
83,-5.77223,-8.90409,-6.43947,4.01641,10.9104,15.0659,AWBR
84,-5.664,-4.69432,-9.09192,1.62604,5.49172,-0.266873,ADLR
85,-5.10717,-4.0895,2.41542,15.4356,10.4504,3.38591,SMDDR
86,-4.87426,-7.22514,-4.72269,1.2991,10.7616,-0.229929,AWAR
87,-4.83883,4.44326,-8.55721,1.46668,5.4306,-0.222064,ADLL
88,-4.76809,-7.17428,0.397459,2.13461,3.19474,-0.00549321,SIBDR
89,-4.46956,4.57263,1.73703,2.36604,3.30376,0.154497,SIBDL
90,-4.30069,7.75444,-4.40727,2.96147,9.10661,16.1778,AWBL
91,-4.03461,-3.14166,3.80634,1.57454,4.96211,0.833471,SIBVR
92,-4.006,-6.87937,-0.811904,16.2989,4.72556,0.10338,AIBR
93,-4.00121,-0.55406,3.64142,1.98921,5.96447,12.5081,SAADL
94,-3.82453,-3.44734,4.41729,-1.20741,-0.778222,17.413,SIADR
95,-3.73341,4.9737,-3.17229,1.27641,10.5406,-0.158457,AWAL
96,-3.68961,-0.416324,2.25407,2.54797,2.93198,2.99298,RIR
97,-3.68411,-9.38371,-0.590766,4.85629,5.7286,5.54909,AWCR
98,-3.58886,4.19473,0.709939,17.0233,5.20761,0.0646506,AIBL
99,-3.53388,-9.62456,-2.70042,3.78225,7.29205,0.388149,ASHR
100,-3.25464,6.98483,0.623202,5.32112,5.60878,5.62698,AWCL
101,-3.25169,-6.97768,-6.58862,1.31521,11.7857,8.63542,ASGR
102,-2.52316,6.64834,-5.39731,1.3977,11.6095,7.16915,ASGL
103,-2.46493,1.87218,2.5965,22.0274,8.67797,2.83548,RMDDL
104,-2.09849,-3.51166,2.27622,22.3018,10.1564,3.98088,RMDDR
105,-1.70426,6.75934,-0.981662,4.0852,7.51271,0.534173,ASHL
106,-1.66543,-9.38462,-4.63797,-0.150638,1.29122,10.5023,ASER
107,-1.66271,-8.12428,-7.98101,-1.45288,-1.21537,16.1897,AVHR
108,-1.5952,-2.14864,3.4701,1.76299,3.68684,0.302655,RMHR
109,-1.49609,0.0722707,3.95103,-0.130259,-0.653679,17.0781,SIADL
110,-1.39421,-5.65017,-8.47631,1.3497,3.79175,0.0722832,ASIR
111,-1.1167,-5.30485,-10.0393,0.508369,2.78264,16.656,RIVR
112,-0.94171,7.65919,-6.56463,-1.62034,-1.40326,16.7811,AVHL
113,-0.936587,5.06667,-9.15504,0.971671,3.53731,14.697,RIVL
114,-0.412055,6.00569,-7.46193,1.44362,4.25422,-0.240616,ASIL
115,-0.195253,-8.76675,-4.06133,1.93054,3.12961,0.405528,AVBR
116,-0.128973,7.21539,-2.41172,0.685421,2.88392,12.2324,ASEL
117,-0.113586,-1.91033,4.15654,1.8153,2.21168,15.5898,RMFR
118,0.195953,1.05425,3.71425,1.8224,6.40759,1.66665,SIBVL
119,0.383669,1.38693,3.35938,2.05393,3.22615,0.0576309,RMHL
120,0.547774,-9.69727,0.0775881,10.9736,4.18369,0.286034,AUAR
121,0.564822,-6.67829,-1.57276,2.36741,3.81262,1.22782,RIBR
122,0.715605,-0.554877,4.8392,2.10992,2.15758,16.4138,RMFL
123,0.856993,-8.18445,-7.12278,13.7616,4.66028,15.1856,AVJR
124,1.39635,4.4634,-0.72759,2.17311,3.70414,1.33563,RIBL
125,1.45141,-3.33974,2.63532,1.07909,8.264,15.6115,SMBDR
126,1.50467,0.370823,3.53537,0.420703,8.21342,17.3778,SMBDL
127,1.71413,6.44043,-2.99797,1.87789,3.08011,1.02103,AVBL
128,1.7627,6.08701,1.64125,11.1713,4.08544,0.792618,AUAL
129,1.86564,-1.89658,2.70178,1.41763,10.2449,0.99219,AIYR
130,2.09671,-9.4768,-5.1988,18.6236,26.753,0.0378903,AVDR
131,2.10051,7.68066,-4.59768,10.4144,3.27657,13.7679,AVJL
132,2.82386,-9.4506,-7.04451,1.77169,11.163,1.28143,AINR
133,3.18713,7.84625,-2.99348,19.1841,26.142,-0.384016,AVDL
134,3.84181,-5.76869,2.31813,16.1404,16.8236,4.66688,RIMR
135,4.12159,2.49304,2.07381,14.174,15.675,2.38413,RIML
136,4.1447,-6.38622,0.935708,1.60363,4.80459,-0.115414,ASJR
137,4.62861,1.05353,4.26041,0.514941,7.85568,16.2354,SMBVL
138,4.63555,3.9042,1.38743,1.28566,4.71786,-0.0226077,ASJL
139,5.02724,8.83589,-4.59328,1.57342,9.60097,0.644696,AINL
140,5.20294,0.54286,-9.86608,1.6637,2.74194,-0.36464,I4
141,5.31824,-8.43208,-2.17618,9.57086,1.88919,11.414,AIZR
142,6.01074,-5.58492,-4.27602,1.85919,2.82894,-0.0024028,M2R
143,6.30735,-4.09263,-13.4667,-0.978796,-1.77585,18.5077,M1
144,7.09912,6.25364,-1.10665,9.7156,2.31647,9.42938,AIZL
145,7.639,2.67919,-2.27093,1.80526,2.72524,0.128966,M2L
146,7.66912,0.788178,3.60867,-1.18585,-1.25503,17.7578,SIAVL
147,8.1172,-3.07211,4.09412,4.16966,3.84633,-0.0919257,AIAR
148,8.21917,-1.67828,4.23567,5.09872,3.81407,0.905807,AIAL
149,8.28963,-8.40361,-0.779946,2.23625,2.01219,15.7537,RICR
150,8.69784,-3.4263,4.16723,0.533639,6.59156,15.5601,SMBVR
151,9.20919,4.91367,-9.53676,1.04831,7.34773,1.52541,I6
152,9.53049,6.23122,0.312531,2.1032,1.59808,14.9969,RICL
153,10.4026,-3.65803,4.04976,-1.00043,-0.815361,16.2343,SIAVR
154,11.21,-5.01063,3.78895,15.716,3.4376,11.4823,AIMR
155,11.7416,-11.0419,-2.21954,2.77729,19.284,10.6568,FLPR
156,11.9079,-3.91381,1.80906,1.38361,4.27008,1.1891,I5
157,12.0742,-1.48186,4.38072,10.7767,11.2888,0.861475,AVL
158,13.03,2.46556,3.83686,2.27461,13.571,1.61575,AIYL
159,16.5744,-5.1987,3.64461,-1.40618,-0.655933,17.9299,AVKR
160,18.4829,8.65509,-0.736032,3.27737,17.9298,8.78766,FLPL
161,18.7193,-11.1111,-2.79112,21.1432,5.55569,3.44747,ADER
162,18.8658,7.78389,-10.6292,2.41819,3.75456,-0.634046,M5
163,19.9065,0.546845,4.55018,16.4713,3.81473,13.5662,AIML
164,20.8362,-4.0106,4.50942,3.4476,21.2382,-0.886819,SABVR
165,23.832,-10.7575,-0.828572,14.4228,27.1677,0.116333,AQR
166,24.0657,8.74652,-1.73736,20.8996,5.03602,5.64539,ADEL
167,25.6514,-0.644233,4.60501,14.5416,3.97783,8.02343,VB2
168,25.6707,-11.1004,-3.45079,10.2806,4.34314,12.7346,ADAR
169,25.739,0.0289733,4.34991,3.29161,20.0202,-0.836526,SABVL
170,25.902,1.63386,2.77049,-0.979067,0.508866,17.0432,AVKL
171,27.0782,-1.5146,3.72747,11.8498,12.101,1.36891,RIS
172,29.25,8.74885,-2.91068,8.73364,3.52041,13.1601,ADAL
173,30.1801,-9.7039,-4.15483,1.34287,3.57978,0.348094,RMGR
174,32.3902,7.75668,-3.24604,1.8416,5.03624,0.253179,RMGL
